AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRYGY25G090A494,m80_1,MRYGY24G080D158,male,2025,unknown,MRYGY25G0900801
MRYGY25G090A495,m54_2,MRYGY24G080D419,male,2025,unknown,MRYGY25G0900541
MRYGY25G090A496,m19_1,MRYGY24G080F706,male,2025,unknown,MRYGY25G0900191
MRYGY25G090A497,m50_2,MRYGY24G080F753,male,2025,unknown,MRYGY25G0900501
MRYGY25G090A498,m19_1,MRYGY24G080F706,male,2025,unknown,MRYGY25G0900191
MRYGY25G090A499,m16_2,MRYGY24G080E793,male,2025,unknown,MRYGY25G0900161
MRYGY25G090A500,m48_1,MRYGY24G080C142,male,2025,unknown,MRYGY25G0900482
MRYGY25G090A501,m55_2,MRYGY24G080C832,male,2025,unknown,MRYGY25G0900551
MRYGY25G090A502,m16_2,MRYGY24G080E793,male,2025,unknown,MRYGY25G0900161
MRYGY25G090A503,m69_1,MRYGY24G080C576,male,2025,unknown,MRYGY25G0900691
MRYGY25G090A504,m54_3,MRYGY24G080C107,male,2025,unknown,MRYGY25G0900542
MRYGY25G090A505,m69_1,MRYGY24G080C576,male,2025,unknown,MRYGY25G0900691
MRYGY25G090A506,m76_2,MRYGY24G080E628,male,2025,unknown,MRYGY25G0900761
MRYGY25G090A507,m18_2,MRYGY24G080F380,male,2025,unknown,MRYGY25G0900182
MRYGY25G090A508,m63_1,MRYGY24G080E145,male,2025,unknown,MRYGY25G0900633
MRYGY25G090A509,m39_2,MRYGY24G080C019,male,2025,unknown,MRYGY25G0900392
MRYGY25G090A510,m89_1,MRYGY24G080F456,male,2025,unknown,MRYGY25G0900893
MRYGY25G090A511,m22_2,MRYGY24G080E401,male,2025,unknown,MRYGY25G0900223
MRYGY25G090A512,m64_2,MRYGY24G080D595,male,2025,unknown,MRYGY25G0900641
MRYGY25G090A513,m64_2,MRYGY24G080D595,male,2025,unknown,MRYGY25G0900641
MRYGY25G090A514,m23_1,MRYGY24G080E364,male,2025,unknown,MRYGY25G0900232
MRYGY25G090A515,m52_1,MRYGY24G080C456,male,2025,unknown,MRYGY25G0900522
